GAME_ID,GAME_DT,PARK_ID
ATL201207290,120729,ATL02
ATL201207300,120730,ATL02
ATL201207310,120731,ATL02
ATL201208010,120801,ATL02
ATL201208020,120802,ATL02
ATL201208030,120803,ATL02
ATL201208040,120804,ATL02
ATL201208050,120805,ATL02
ATL201208130,120813,ATL02
ATL201208140,120814,ATL02
ATL201208150,120815,ATL02
ATL201208160,120816,ATL02
ATL201208170,120817,ATL02
ATL201208180,120818,ATL02
ATL201208190,120819,ATL02
ATL201208310,120831,ATL02
ATL201209010,120901,ATL02
ATL201209020,120902,ATL02
ATL201209030,120903,ATL02
ATL201209040,120904,ATL02
ATL201209050,120905,ATL02
ATL201209060,120906,ATL02
ATL201209140,120914,ATL02
ATL201209150,120915,ATL02
ATL201209160,120916,ATL02
ATL201209250,120925,ATL02
ATL201209260,120926,ATL02
ATL201209270,120927,ATL02
ATL201209280,120928,ATL02
ATL201209290,120929,ATL02
ATL201209300,120930,ATL02
ATL201210050,121005,ATL02
ATL201304010,20130401,ATL02
ATL201304030,20130403,ATL02
